Family,Genus,Species,Genus.Species,Registration number,mBd,Uj,Lj,Ed,Hd,PBd,TL,Bw,Mw,DFb,CFb,AFb,PelFb,Pfb,Perimeter
Triglidae,Chelidonichthys,kumu,Chelidonichthys_kumu,P.046491,56.59,33.28,30.47,17.87,46.5,56.21,307,54.45,39.82,152,45,85.29,23.74,14.54,597
Pomacentridae,Chromis,abyssicola,Chromis_abyssicola,P.046274,39.29,8.49,5.89,12.68,24.07,38.64,100,15.13,7.67,54,12.16,19.68,4.95,6.28,200
Pomacentridae,Chromis,dispila,Chromis_dispila,P.050125,65.49,11.52,9.65,13.3,34.13,60.5,163,25.73,10.31,93,28,39,10.62,12.49,352
Sparidae,Chrysophrys,auratus,Chrysophrys_auratus,P.048499,148.84,31.92,30.36,21.04,94.7,144.54,376,59.23,36.9,175,76,71,16.32,20.68,797
Macrouridae,Coelorinchus,acanthiger,Coelorinchus_acanthiger,P.038935,41.66,18.13,15.53,23.84,40.31,40.8,297,45.96,23.9,162,5,167,3,7.59,603
Macrouridae,Coelorinchus,aspercephalus,Coelorinchus_aspercephalus,P.005256,67.82,29.96,22.88,29.67,47.19,64.84,388,47.05,29.38,23.85,549,NA,5.95,11.52,842
Macrouridae,Coelorinchus,biclinozonalis,Coelorinchus_biclinozonalis,P.034780,71.28,31.79,19.65,31.2,60.76,68.79,450,53.57,32.2,25.71,598,NA,8.34,13.91,958
Macrouridae,Coelorinchus,bollonsi,Coelorinchus_bollonsi,P.023348,43.02,16.98,13.37,27.95,32.94,41.33,284,30.79,13.32,15.44,400,NA,4.05,6.61,604
Macrouridae,Coelorinchus,fasciatus,Coelorinchus_fasciatus,P.023370,48.45,16.32,14.73,27.6,33.96,46.12,295,35.78,13.95,19.16,415,NA,4.43,7.46,630
Macrouridae,Coelorinchus,innotabilis,Coelorinchus_innotabilis,P.023565,26.3,12.61,11.64,20.17,22.37,27.14,271,26.06,10.99,14.12,400,NA,2.7,4.42,601
Macrouridae,Coelorinchus,kermadecus,Coelorinchus_kermadecus,P.038988,77.98,37.89,30.88,29.1,66.95,74.88,447,78.05,41.3,22.2,549,NA,6.31,12.27,1006
Macrouridae,Coelorinchus,mycterismus,Coelorinchus_mycterismus,P.039350,57.41,27.85,23.78,32.55,50.6,57.04,377,61.59,28.94,18.88,478,NA,5.21,9.85,846
Macrouridae,Coelorinchus,mystax,Coelorinchus_mystax,P.039439,31,15,11.37,17,28,29,215,23,11,12,150,NA,3,7,450
Macrouridae,Coelorinchus,oliverianus,Coelorinchus_oliverianus,P.023538,30.08,14.85,12.76,20.17,24.39,28.56,225,20.88,10.85,13.61,335,NA,3.05,3.94,480
Congridae,Conger,verreauxi,Conger_verreauxi,AK135203,19.65,17.05,16.73,6.57,13.16,16.51,358,18.27,12.73,NA,500,NA,NA,NA,725
